well_id,well_name,group_name
44835,Yates 82 2,Pumping Unit Wells
44837,Abraxas 31A 2,Pumping Unit Wells
44839,Nance 19 1,Pumping Unit Wells
44840,Cook 21 6,Pumping Unit Wells
44841,Hale 1443,Pumping Unit Wells
44842,Slaughter 29D 2,Pumping Unit Wells
44843,Abraxas 30B 4,Pumping Unit Wells
44844,Garner 7 2,Pumping Unit Wells
44845,Bauer 1,Pumping Unit Wells
44846,Slaughter 19D 2,Pumping Unit Wells
44847,Slaughter 17 3,Pumping Unit Wells
44848,Abraxas 30 1,Pumping Unit Wells
44851,Hale 1523,Pumping Unit Wells
44852,Thomas 1541,Pumping Unit Wells
